idx	window_id	header	cluster
53	Z18528.1_w150	Z18528.1_w150	-1
54	Z18528.1_w200	Z18528.1_w200	-1
55	Z18528.1_w208	Z18528.1_w208	-1
56	X51559.1_full	X51559.1_full	-1
57	X51560.1_full	X51560.1_full	-1
58	X51558.1_w0	X51558.1_w0	-1
59	X51558.1_w44	X51558.1_w44	-1
60	X51556.1_w0	X51556.1_w0	32
61	X51556.1_w50	X51556.1_w50	32
62	X51556.1_w55	X51556.1_w55	29
63	X51555.1_w0	X51555.1_w0	-1
64	X51555.1_w50	X51555.1_w50	-1
65	X51555.1_w63	X51555.1_w63	-1
66	X51564.1_full	X51564.1_full	-1
67	X51565.1_full	X51565.1_full	32
68	X51563.1_full	X51563.1_full	29
69	X51561.1_w0	X51561.1_w0	-1
70	X51561.1_w50	X51561.1_w50	-1
71	X51561.1_w59	X51561.1_w59	-1
72	X51562.1_w0	X51562.1_w0	37
73	X51562.1_w50	X51562.1_w50	37
74	X51562.1_w78	X51562.1_w78	-1
75	X51557.1_w0	X51557.1_w0	32
76	X51557.1_w50	X51557.1_w50	-1
77	X51557.1_w51	X51557.1_w51	37
78	X53153.1_w0	X53153.1_w0	-1
79	X53153.1_w50	X53153.1_w50	37
80	X53153.1_w100	X53153.1_w100	-1
81	X53153.1_w150	X53153.1_w150	37
82	X53153.1_w200	X53153.1_w200	37
83	X53153.1_w220	X53153.1_w220	37
84	X03564.1_w0	X03564.1_w0	-1
85	X03564.1_w50	X03564.1_w50	37
86	X03564.1_w100	X03564.1_w100	-1
87	X03564.1_w150	X03564.1_w150	-1
88	X03564.1_w200	X03564.1_w200	37
89	X03564.1_w250	X03564.1_w250	-1
90	X03564.1_w300	X03564.1_w300	37
91	X03564.1_w316	X03564.1_w316	37
92	X03566.1_w0	X03566.1_w0	37
93	X03566.1_w50	X03566.1_w50	37
94	X03566.1_w95	X03566.1_w95	37
95	X03567.1_w0	X03567.1_w0	37
96	X03567.1_w50	X03567.1_w50	37
97	X03567.1_w100	X03567.1_w100	37
98	X03567.1_w144	X03567.1_w144	-1
99	X03568.1_full	X03568.1_full	37
100	X03565.1_w0	X03565.1_w0	-1
101	X03565.1_w50	X03565.1_w50	37
102	X03565.1_w100	X03565.1_w100	37
103	X03565.1_w150	X03565.1_w150	-1
104	X03565.1_w200	X03565.1_w200	37
105	X03565.1_w250	X03565.1_w250	37
106	X03565.1_w300	X03565.1_w300	36
107	X03565.1_w350	X03565.1_w350	37
108	X03565.1_w400	X03565.1_w400	37
109	X03565.1_w441	X03565.1_w441	-1
110	X03569.1_w0	X03569.1_w0	37
111	X03569.1_w50	X03569.1_w50	36
112	X03569.1_w82	X03569.1_w82	-1
113	NC_043491.1_w0	NC_043491.1_w0	-1
114	NC_043491.1_w50	NC_043491.1_w50	37
115	NC_043491.1_w100	NC_043491.1_w100	37
116	NC_043491.1_w150	NC_043491.1_w150	36
117	NC_043491.1_w200	NC_043491.1_w200	36
118	NC_043491.1_w250	NC_043491.1_w250	36
119	NC_043491.1_w300	NC_043491.1_w300	36
120	NC_043491.1_w350	NC_043491.1_w350	36
121	NC_043491.1_w400	NC_043491.1_w400	36
122	NC_043491.1_w450	NC_043491.1_w450	36
123	NC_043491.1_w500	NC_043491.1_w500	-1
124	NC_043491.1_w550	NC_043491.1_w550	-1
125	NC_043491.1_w600	NC_043491.1_w600	-1
126	NC_043491.1_w650	NC_043491.1_w650	36
127	NC_043491.1_w700	NC_043491.1_w700	36
128	NC_043491.1_w750	NC_043491.1_w750	-1
129	NC_043491.1_w800	NC_043491.1_w800	-1
130	NC_043491.1_w850	NC_043491.1_w850	-1
131	NC_043491.1_w900	NC_043491.1_w900	-1
132	NC_043491.1_w950	NC_043491.1_w950	36
133	NC_043491.1_w1000	NC_043491.1_w1000	-1
134	NC_043491.1_w1050	NC_043491.1_w1050	-1
135	NC_043491.1_w1100	NC_043491.1_w1100	-1
136	NC_043491.1_w1150	NC_043491.1_w1150	-1
137	NC_043491.1_w1200	NC_043491.1_w1200	-1
138	NC_043491.1_w1250	NC_043491.1_w1250	54
139	NC_043491.1_w1300	NC_043491.1_w1300	-1
140	NC_043491.1_w1350	NC_043491.1_w1350	-1
141	NC_043491.1_w1400	NC_043491.1_w1400	54
142	NC_043491.1_w1450	NC_043491.1_w1450	54
143	NC_043491.1_w1500	NC_043491.1_w1500	53
144	NC_043491.1_w1550	NC_043491.1_w1550	-1
145	NC_043491.1_w1600	NC_043491.1_w1600	-1
146	NC_043491.1_w1650	NC_043491.1_w1650	54
147	NC_043491.1_w1700	NC_043491.1_w1700	-1
148	NC_043491.1_w1750	NC_043491.1_w1750	54
149	NC_043491.1_w1800	NC_043491.1_w1800	54
150	NC_043491.1_w1850	NC_043491.1_w1850	54
151	NC_043491.1_w1900	NC_043491.1_w1900	53
152	NC_043491.1_w1950	NC_043491.1_w1950	54
153	NC_043491.1_w2000	NC_043491.1_w2000	-1
154	NC_043491.1_w2050	NC_043491.1_w2050	-1
155	NC_043491.1_w2100	NC_043491.1_w2100	-1
156	NC_043491.1_w2150	NC_043491.1_w2150	-1
157	NC_043491.1_w2200	NC_043491.1_w2200	-1
158	NC_043491.1_w2250	NC_043491.1_w2250	54
159	NC_043491.1_w2300	NC_043491.1_w2300	-1
160	NC_043491.1_w2350	NC_043491.1_w2350	53
161	NC_043491.1_w2400	NC_043491.1_w2400	53
162	NC_043491.1_w2450	NC_043491.1_w2450	-1
163	NC_043491.1_w2500	NC_043491.1_w2500	-1
164	NC_043491.1_w2550	NC_043491.1_w2550	50
165	NC_043491.1_w2600	NC_043491.1_w2600	50
166	NC_043491.1_w2650	NC_043491.1_w2650	53
167	NC_043491.1_w2700	NC_043491.1_w2700	-1
168	NC_043491.1_w2750	NC_043491.1_w2750	-1
169	NC_043491.1_w2800	NC_043491.1_w2800	50
170	NC_043491.1_w2850	NC_043491.1_w2850	-1
171	NC_043491.1_w2900	NC_043491.1_w2900	-1
172	NC_043491.1_w2950	NC_043491.1_w2950	-1
173	NC_043491.1_w3000	NC_043491.1_w3000	50
174	NC_043491.1_w3050	NC_043491.1_w3050	50
175	NC_043491.1_w3100	NC_043491.1_w3100	50
176	NC_043491.1_w3150	NC_043491.1_w3150	50
177	NC_043491.1_w3200	NC_043491.1_w3200	65
178	NC_043491.1_w3250	NC_043491.1_w3250	-1
179	NC_043491.1_w3300	NC_043491.1_w3300	50
180	NC_043491.1_w3350	NC_043491.1_w3350	50
181	NC_043491.1_w3400	NC_043491.1_w3400	-1
182	NC_043491.1_w3450	NC_043491.1_w3450	50
183	NC_043491.1_w3500	NC_043491.1_w3500	-1
184	NC_043491.1_w3550	NC_043491.1_w3550	-1
185	NC_043491.1_w3600	NC_043491.1_w3600	-1
186	NC_043491.1_w3650	NC_043491.1_w3650	50
187	NC_043491.1_w3700	NC_043491.1_w3700	50
188	NC_043491.1_w3750	NC_043491.1_w3750	-1
189	NC_043491.1_w3800	NC_043491.1_w3800	-1
190	NC_043491.1_w3850	NC_043491.1_w3850	-1
191	NC_043491.1_w3900	NC_043491.1_w3900	-1
192	NC_043491.1_w3950	NC_043491.1_w3950	65
193	NC_043491.1_w4000	NC_043491.1_w4000	-1
194	NC_043491.1_w4050	NC_043491.1_w4050	50
195	NC_043491.1_w4100	NC_043491.1_w4100	39
196	NC_043491.1_w4150	NC_043491.1_w4150	-1
197	NC_043491.1_w4200	NC_043491.1_w4200	-1
198	NC_043491.1_w4250	NC_043491.1_w4250	-1
199	NC_043491.1_w4300	NC_043491.1_w4300	-1
200	NC_043491.1_w4350	NC_043491.1_w4350	-1
201	NC_043491.1_w4400	NC_043491.1_w4400	-1
202	NC_043491.1_w4450	NC_043491.1_w4450	-1
203	NC_043491.1_w4500	NC_043491.1_w4500	-1
204	NC_043491.1_w4550	NC_043491.1_w4550	62
205	NC_043491.1_w4600	NC_043491.1_w4600	-1
206	NC_043491.1_w4650	NC_043491.1_w4650	50
207	NC_043491.1_w4700	NC_043491.1_w4700	-1
208	NC_043491.1_w4750	NC_043491.1_w4750	68
209	NC_043491.1_w4800	NC_043491.1_w4800	59
210	NC_043491.1_w4850	NC_043491.1_w4850	69
211	NC_043491.1_w4900	NC_043491.1_w4900	-1
212	NC_043491.1_w4950	NC_043491.1_w4950	-1
213	NC_043491.1_w5000	NC_043491.1_w5000	-1
214	NC_043491.1_w5050	NC_043491.1_w5050	-1
215	NC_043491.1_w5100	NC_043491.1_w5100	50
216	NC_043491.1_w5150	NC_043491.1_w5150	-1
217	NC_043491.1_w5200	NC_043491.1_w5200	65
218	NC_043491.1_w5250	NC_043491.1_w5250	-1
219	NC_043491.1_w5300	NC_043491.1_w5300	-1
220	NC_043491.1_w5350	NC_043491.1_w5350	-1
221	NC_043491.1_w5400	NC_043491.1_w5400	65
222	NC_043491.1_w5450	NC_043491.1_w5450	-1
223	NC_043491.1_w5500	NC_043491.1_w5500	65
224	NC_043491.1_w5550	NC_043491.1_w5550	64
225	NC_043491.1_w5600	NC_043491.1_w5600	-1
226	NC_043491.1_w5650	NC_043491.1_w5650	-1
227	NC_043491.1_w5700	NC_043491.1_w5700	65
228	NC_043491.1_w5750	NC_043491.1_w5750	62
229	NC_043491.1_w5800	NC_043491.1_w5800	-1
230	NC_043491.1_w5850	NC_043491.1_w5850	-1
231	NC_043491.1_w5900	NC_043491.1_w5900	-1
232	NC_043491.1_w5950	NC_043491.1_w5950	68
233	NC_043491.1_w6000	NC_043491.1_w6000	-1
234	NC_043491.1_w6050	NC_043491.1_w6050	-1
235	NC_043491.1_w6100	NC_043491.1_w6100	-1
236	NC_043491.1_w6150	NC_043491.1_w6150	-1
237	NC_043491.1_w6200	NC_043491.1_w6200	64
238	NC_043491.1_w6250	NC_043491.1_w6250	-1
239	NC_043491.1_w6300	NC_043491.1_w6300	64
240	NC_043491.1_w6350	NC_043491.1_w6350	64
241	NC_043491.1_w6400	NC_043491.1_w6400	64
242	NC_043491.1_w6450	NC_043491.1_w6450	67
243	NC_043491.1_w6500	NC_043491.1_w6500	67
244	NC_043491.1_w6550	NC_043491.1_w6550	-1
245	NC_043491.1_w6600	NC_043491.1_w6600	-1
246	NC_043491.1_w6650	NC_043491.1_w6650	-1
247	NC_043491.1_w6700	NC_043491.1_w6700	67
248	NC_043491.1_w6750	NC_043491.1_w6750	68
249	NC_043491.1_w6800	NC_043491.1_w6800	65
250	NC_043491.1_w6850	NC_043491.1_w6850	-1
251	NC_043491.1_w6900	NC_043491.1_w6900	-1
252	NC_043491.1_w6950	NC_043491.1_w6950	-1
253	NC_043491.1_w7000	NC_043491.1_w7000	-1
254	NC_043491.1_w7050	NC_043491.1_w7050	-1
255	NC_043491.1_w7100	NC_043491.1_w7100	64
256	NC_043491.1_w7146	NC_043491.1_w7146	-1
257	X62980.1_w0	X62980.1_w0	-1
258	X62980.1_w32	X62980.1_w32	-1
259	X62979.1_w0	X62979.1_w0	67
260	X62979.1_w31	X62979.1_w31	64
261	X62986.1_w0	X62986.1_w0	-1
262	X62986.1_w29	X62986.1_w29	68
263	X62991.1_w0	X62991.1_w0	-1
264	X62991.1_w50	X62991.1_w50	67
265	X62991.1_w100	X62991.1_w100	-1
266	X62991.1_w150	X62991.1_w150	62
267	X62991.1_w200	X62991.1_w200	70
268	X62991.1_w250	X62991.1_w250	-1
269	X62991.1_w300	X62991.1_w300	64
270	X62991.1_w350	X62991.1_w350	-1
271	X62991.1_w400	X62991.1_w400	67
272	X62991.1_w416	X62991.1_w416	-1
273	NM_001180606.1_w0	NM_001180606.1_w0	-1
274	NM_001180606.1_w50	NM_001180606.1_w50	68
275	NM_001180606.1_w100	NM_001180606.1_w100	68
276	NM_001180606.1_w150	NM_001180606.1_w150	-1
277	NM_001180606.1_w200	NM_001180606.1_w200	-1
278	NM_001180606.1_w250	NM_001180606.1_w250	-1
279	NM_001180606.1_w300	NM_001180606.1_w300	-1
280	NM_001180606.1_w350	NM_001180606.1_w350	-1
281	NM_001180606.1_w389	NM_001180606.1_w389	66
282	NM_001178784.1_w0	NM_001178784.1_w0	-1
283	NM_001178784.1_w50	NM_001178784.1_w50	-1
284	NM_001178784.1_w100	NM_001178784.1_w100	68
285	NM_001178784.1_w150	NM_001178784.1_w150	-1
286	NM_001178784.1_w200	NM_001178784.1_w200	-1
287	NM_001178784.1_w250	NM_001178784.1_w250	-1
288	NM_001178784.1_w300	NM_001178784.1_w300	68
289	NM_001178784.1_w350	NM_001178784.1_w350	62
290	NM_001178784.1_w400	NM_001178784.1_w400	-1
291	NM_001178784.1_w450	NM_001178784.1_w450	-1
292	NM_001178784.1_w500	NM_001178784.1_w500	-1
293	NM_001178784.1_w533	NM_001178784.1_w533	62
294	X01658.1_full	X01658.1_full	-1
295	X01657.1_w0	X01657.1_w0	70
296	X01657.1_w50	X01657.1_w50	-1
297	X01657.1_w100	X01657.1_w100	66
298	X01657.1_w112	X01657.1_w112	-1
299	X69881.1_w0	X69881.1_w0	-1
300	X69881.1_w50	X69881.1_w50	70
301	X69881.1_w100	X69881.1_w100	70
302	X69881.1_w150	X69881.1_w150	66
303	X69881.1_w200	X69881.1_w200	-1
304	X69881.1_w250	X69881.1_w250	66
305	X69881.1_w300	X69881.1_w300	73
306	X69881.1_w350	X69881.1_w350	70
307	X69881.1_w400	X69881.1_w400	70
308	X69881.1_w450	X69881.1_w450	-1
309	X69881.1_w500	X69881.1_w500	-1
310	X69881.1_w550	X69881.1_w550	70
311	X69881.1_w600	X69881.1_w600	-1
312	X69881.1_w650	X69881.1_w650	-1
313	X69881.1_w700	X69881.1_w700	-1
314	X69881.1_w750	X69881.1_w750	70
315	X69881.1_w800	X69881.1_w800	-1
316	X69881.1_w850	X69881.1_w850	-1
317	X69881.1_w900	X69881.1_w900	70
318	X69881.1_w950	X69881.1_w950	70
319	X69881.1_w1000	X69881.1_w1000	73
320	X69881.1_w1050	X69881.1_w1050	72
321	X69881.1_w1100	X69881.1_w1100	72
322	X69881.1_w1150	X69881.1_w1150	70
323	X69881.1_w1200	X69881.1_w1200	73
324	X69881.1_w1250	X69881.1_w1250	-1
325	X69881.1_w1300	X69881.1_w1300	72
326	X69881.1_w1350	X69881.1_w1350	72
327	X69881.1_w1400	X69881.1_w1400	72
328	X69881.1_w1450	X69881.1_w1450	70
329	X69881.1_w1500	X69881.1_w1500	72
330	X69881.1_w1550	X69881.1_w1550	72
331	X69881.1_w1600	X69881.1_w1600	-1
332	X69881.1_w1650	X69881.1_w1650	-1
333	X69881.1_w1700	X69881.1_w1700	73
334	X69881.1_w1750	X69881.1_w1750	-1
335	X69881.1_w1800	X69881.1_w1800	-1
336	X69881.1_w1850	X69881.1_w1850	73
337	X69881.1_w1900	X69881.1_w1900	72
338	X69881.1_w1950	X69881.1_w1950	73
339	X69881.1_w2000	X69881.1_w2000	73
340	X69881.1_w2050	X69881.1_w2050	-1
341	X69881.1_w2100	X69881.1_w2100	73
342	X69881.1_w2150	X69881.1_w2150	73
343	X69881.1_w2200	X69881.1_w2200	-1
344	X69881.1_w2250	X69881.1_w2250	73
345	X69881.1_w2300	X69881.1_w2300	73
346	X69881.1_w2350	X69881.1_w2350	73
347	X69881.1_w2400	X69881.1_w2400	73
348	X69881.1_w2450	X69881.1_w2450	73
349	X69881.1_w2500	X69881.1_w2500	73
350	X69881.1_w2550	X69881.1_w2550	73
351	X69881.1_w2600	X69881.1_w2600	-1
352	X69881.1_w2650	X69881.1_w2650	-1
353	X69881.1_w2700	X69881.1_w2700	73
354	X69881.1_w2750	X69881.1_w2750	-1
355	X69881.1_w2800	X69881.1_w2800	-1
356	X69881.1_w2850	X69881.1_w2850	73
357	X69881.1_w2900	X69881.1_w2900	73
358	X69881.1_w2950	X69881.1_w2950	73
359	X69881.1_w3000	X69881.1_w3000	-1
360	X69881.1_w3050	X69881.1_w3050	73
361	X69881.1_w3100	X69881.1_w3100	73
362	X69881.1_w3150	X69881.1_w3150	73
363	X69881.1_w3200	X69881.1_w3200	73
364	X69881.1_w3250	X69881.1_w3250	73
365	X69881.1_w3300	X69881.1_w3300	-1
366	X69881.1_w3350	X69881.1_w3350	73
367	X69881.1_w3400	X69881.1_w3400	73
368	X69881.1_w3450	X69881.1_w3450	-1
369	X69881.1_w3500	X69881.1_w3500	-1
370	X69881.1_w3550	X69881.1_w3550	-1
371	X69881.1_w3561	X69881.1_w3561	-1
372	X01660.1_full	X01660.1_full	73
373	X04153.1_full	X04153.1_full	-1
374	X04154.1_full	X04154.1_full	69
375	X04155.1_full	X04155.1_full	-1
376	V00078.1_w0	V00078.1_w0	-1
377	V00078.1_w50	V00078.1_w50	69
378	V00078.1_w100	V00078.1_w100	73
379	V00078.1_w150	V00078.1_w150	-1
380	V00078.1_w159	V00078.1_w159	-1
381	X03542.1_w0	X03542.1_w0	-1
382	X03542.1_w50	X03542.1_w50	-1
383	X03542.1_w100	X03542.1_w100	69
384	X03542.1_w104	X03542.1_w104	69
385	X03543.1_full	X03543.1_full	-1
386	X03544.1_full	X03544.1_full	-1
387	X03545.1_full	X03545.1_full	-1
388	X03546.1_w0	X03546.1_w0	-1
389	X03547.1_w0	X03547.1_w0	59
390	X03547.1_w50	X03547.1_w50	59
391	X03547.1_w100	X03547.1_w100	-1
392	X03547.1_w150	X03547.1_w150	-1
393	X03547.1_w195	X03547.1_w195	-1
394	X03548.1_w0	X03548.1_w0	59
395	X03548.1_w16	X03548.1_w16	59
396	X03549.1_full	X03549.1_full	-1
397	X03551.1_w0	X03551.1_w0	-1
398	X03551.1_w50	X03551.1_w50	69
399	X03551.1_w100	X03551.1_w100	59
400	X03551.1_w147	X03551.1_w147	-1
401	X01826.1_w0	X01826.1_w0	-1
402	X01826.1_w50	X01826.1_w50	59
403	X01826.1_w100	X01826.1_w100	59
404	X01826.1_w150	X01826.1_w150	59
405	X01826.1_w200	X01826.1_w200	-1
406	X01826.1_w250	X01826.1_w250	-1
407	X01826.1_w262	X01826.1_w262	-1
408	X12837.1_w0	X12837.1_w0	-1
409	X12837.1_w50	X12837.1_w50	-1
410	X12837.1_w82	X12837.1_w82	39
411	X12839.1_w0	X12839.1_w0	59
412	X12839.1_w50	X12839.1_w50	-1
413	X12839.1_w100	X12839.1_w100	39
414	X12839.1_w150	X12839.1_w150	59
415	X12839.1_w199	X12839.1_w199	-1
416	X12840.1_w0	X12840.1_w0	39
417	X12840.1_w50	X12840.1_w50	39
418	X12840.1_w93	X12840.1_w93	-1
419	X51321.1_w0	X51321.1_w0	39
420	X51321.1_w50	X51321.1_w50	39
421	X51321.1_w100	X51321.1_w100	39
422	X51321.1_w150	X51321.1_w150	-1
423	X51321.1_w200	X51321.1_w200	39
424	X51321.1_w250	X51321.1_w250	39
425	X51321.1_w300	X51321.1_w300	39
426	X51321.1_w350	X51321.1_w350	39
427	X51321.1_w400	X51321.1_w400	44
428	X51321.1_w450	X51321.1_w450	39
429	X51321.1_w500	X51321.1_w500	-1
430	X51321.1_w550	X51321.1_w550	-1
431	X51321.1_w600	X51321.1_w600	39
432	X51321.1_w650	X51321.1_w650	-1
433	X51321.1_w700	X51321.1_w700	39
434	X51321.1_w750	X51321.1_w750	39
435	X51321.1_w800	X51321.1_w800	39
436	X51321.1_w850	X51321.1_w850	39
437	X51321.1_w900	X51321.1_w900	39
438	X51321.1_w950	X51321.1_w950	39
439	X51321.1_w1000	X51321.1_w1000	39
440	X51321.1_w1050	X51321.1_w1050	39
441	X51321.1_w1100	X51321.1_w1100	44
442	X51321.1_w1150	X51321.1_w1150	39
443	X51321.1_w1200	X51321.1_w1200	44
444	X51321.1_w1250	X51321.1_w1250	44
445	X51321.1_w1257	X51321.1_w1257	44
446	X56915.1_full	X56915.1_full	44
447	X56916.1_w0	X56916.1_w0	44
448	X56916.1_w50	X56916.1_w50	44
449	X56916.1_w100	X56916.1_w100	-1
450	X56916.1_w150	X56916.1_w150	44
451	X56916.1_w200	X56916.1_w200	-1
452	X56916.1_w250	X56916.1_w250	44
453	X56916.1_w300	X56916.1_w300	44
454	X56916.1_w350	X56916.1_w350	44
455	X56916.1_w400	X56916.1_w400	45
456	X56916.1_w403	X56916.1_w403	44
457	X60990.1_w0	X60990.1_w0	-1
458	X60990.1_w50	X60990.1_w50	44
459	X60990.1_w100	X60990.1_w100	44
460	X60990.1_w150	X60990.1_w150	-1
461	X60990.1_w200	X60990.1_w200	44
462	X60990.1_w250	X60990.1_w250	45
463	X60990.1_w300	X60990.1_w300	44
464	X60990.1_w350	X60990.1_w350	44
465	X60990.1_w400	X60990.1_w400	44
466	X60990.1_w450	X60990.1_w450	-1
467	X60990.1_w500	X60990.1_w500	-1
468	X60990.1_w550	X60990.1_w550	44
469	X60990.1_w600	X60990.1_w600	45
470	X60990.1_w650	X60990.1_w650	45
471	X60990.1_w700	X60990.1_w700	45
472	X60990.1_w750	X60990.1_w750	-1
473	X60990.1_w800	X60990.1_w800	44
474	X60990.1_w850	X60990.1_w850	45
475	X60990.1_w900	X60990.1_w900	-1
476	X60990.1_w950	X60990.1_w950	45
477	X60990.1_w1000	X60990.1_w1000	-1
478	X60990.1_w1050	X60990.1_w1050	45
479	X60990.1_w1100	X60990.1_w1100	-1
480	X60990.1_w1150	X60990.1_w1150	43
481	X60990.1_w1200	X60990.1_w1200	45
482	X60990.1_w1250	X60990.1_w1250	45
483	X60990.1_w1300	X60990.1_w1300	-1
484	X60990.1_w1350	X60990.1_w1350	-1
485	X60990.1_w1400	X60990.1_w1400	-1
486	X60990.1_w1450	X60990.1_w1450	43
487	X60990.1_w1500	X60990.1_w1500	45
488	X60990.1_w1550	X60990.1_w1550	45
489	X60990.1_w1600	X60990.1_w1600	45
490	X60990.1_w1650	X60990.1_w1650	-1
491	X60990.1_w1700	X60990.1_w1700	43
492	X60990.1_w1750	X60990.1_w1750	43
493	X60990.1_w1800	X60990.1_w1800	-1
494	X60990.1_w1850	X60990.1_w1850	45
495	X60990.1_w1900	X60990.1_w1900	45
496	X60990.1_w1950	X60990.1_w1950	43
497	X60990.1_w2000	X60990.1_w2000	43
498	X60990.1_w2050	X60990.1_w2050	-1
499	X60990.1_w2100	X60990.1_w2100	-1
500	X60990.1_w2150	X60990.1_w2150	43
501	X60990.1_w2200	X60990.1_w2200	-1
502	X60990.1_w2250	X60990.1_w2250	-1
503	X60990.1_w2300	X60990.1_w2300	43
504	X60990.1_w2350	X60990.1_w2350	43
505	X60990.1_w2400	X60990.1_w2400	-1
506	X60990.1_w2450	X60990.1_w2450	-1
507	X60990.1_w2500	X60990.1_w2500	43
508	X60990.1_w2550	X60990.1_w2550	43
509	X60990.1_w2600	X60990.1_w2600	43
510	X60990.1_w2650	X60990.1_w2650	43
511	X60990.1_w2685	X60990.1_w2685	43
512	X04812.1_w0	X04812.1_w0	-1
513	X04812.1_w50	X04812.1_w50	43
514	X04812.1_w100	X04812.1_w100	-1
515	X04812.1_w143	X04812.1_w143	43
516	X05043.1_w0	X05043.1_w0	43
517	X05043.1_w50	X05043.1_w50	43
518	X05043.1_w100	X05043.1_w100	43
519	X05043.1_w150	X05043.1_w150	43
520	X05043.1_w200	X05043.1_w200	43
521	X05043.1_w246	X05043.1_w246	-1
522	X05047.1_w0	X05047.1_w0	43
523	X05047.1_w50	X05047.1_w50	43
524	X05047.1_w100	X05047.1_w100	46
525	X05047.1_w150	X05047.1_w150	-1
526	X05047.1_w200	X05047.1_w200	-1
527	X05047.1_w241	X05047.1_w241	46
528	X62538.1_w0	X62538.1_w0	-1
529	X62538.1_w50	X62538.1_w50	46
530	X62538.1_w100	X62538.1_w100	46
531	X62538.1_w150	X62538.1_w150	43
532	X62538.1_w200	X62538.1_w200	46
533	X62538.1_w250	X62538.1_w250	46
534	X62538.1_w300	X62538.1_w300	-1
535	X62538.1_w350	X62538.1_w350	46
536	X62538.1_w400	X62538.1_w400	46
537	X62538.1_w450	X62538.1_w450	46
538	X62538.1_w500	X62538.1_w500	46
539	X62538.1_w550	X62538.1_w550	46
540	X62538.1_w600	X62538.1_w600	46
541	Z16407.1_w0	Z16407.1_w0	46
542	Z16407.1_w50	Z16407.1_w50	46
543	Z16407.1_w100	Z16407.1_w100	46
544	Z16407.1_w150	Z16407.1_w150	46
545	Z16407.1_w200	Z16407.1_w200	46
546	Z16407.1_w250	Z16407.1_w250	46
547	Z16407.1_w300	Z16407.1_w300	-1
548	Z16407.1_w350	Z16407.1_w350	46
549	Z16407.1_w400	Z16407.1_w400	46
550	Z16407.1_w450	Z16407.1_w450	46
551	Z16407.1_w500	Z16407.1_w500	46
552	Z16407.1_w550	Z16407.1_w550	-1
553	Z16407.1_w600	Z16407.1_w600	46
554	Z16407.1_w603	Z16407.1_w603	-1
555	X63731.1_w0	X63731.1_w0	46
556	X63731.1_w50	X63731.1_w50	46
557	X63731.1_w100	X63731.1_w100	46
558	X63731.1_w150	X63731.1_w150	-1
559	X63731.1_w200	X63731.1_w200	47
560	X63731.1_w250	X63731.1_w250	46
561	X63731.1_w300	X63731.1_w300	46
562	X63731.1_w350	X63731.1_w350	46
563	X63731.1_w400	X63731.1_w400	-1
564	X63731.1_w450	X63731.1_w450	-1
565	X63731.1_w500	X63731.1_w500	47
566	X63731.1_w550	X63731.1_w550	46
567	X63731.1_w600	X63731.1_w600	-1
